Year,geo,geo_long,count_prem_deaths
2010,BE,Belgium,9832
2010,BG,Bulgaria,15912
2010,CZ,Czechia,11843
2010,DK,Denmark,2581
2010,DE,Germany,68687
2010,EE,Estonia,443
2010,IE,Ireland,1008
2010,ES,Spain,19186
2010,FR,France,40501
2010,HR,Croatia,5435
2010,IT,Italy,52232
2010,CY,Cyprus,793
2010,LV,Latvia,2043
2010,LT,Lithuania,3156
2010,LU,Luxembourg,277
2010,HU,Hungary,13705
2010,MT,Malta,188
2010,NL,Netherlands,11890
2010,AT,Austria,6733
2010,PL,Poland,52629
2010,PT,Portugal,4074
2010,RO,Romania,21918
2010,SI,Slovenia,1712
2010,SK,Slovakia,5877
2010,FI,Finland,1005
2010,SE,Sweden,2084
2011,BE,Belgium,9063
2011,BG,Bulgaria,20002
2011,CZ,Czechia,11173
2011,DK,Denmark,3386
2011,DE,Germany,64474
2011,EE,Estonia,347
2011,IE,Ireland,771
2011,ES,Spain,20910
2011,FR,France,40021
2011,HR,Croatia,5900
2011,IT,Italy,66469
2011,CY,Cyprus,931
2011,LV,Latvia,1424
2011,LT,Lithuania,2573
2011,LU,Luxembourg,237
2011,HU,Hungary,16357
2011,MT,Malta,243
2011,NL,Netherlands,11669
2011,AT,Austria,6715
2011,PL,Poland,50089
2011,PT,Portugal,4876
2011,RO,Romania,29334
2011,SI,Slovenia,1955
2011,SK,Slovakia,6767
2011,FI,Finland,958
2011,SE,Sweden,2672
2012,BE,Belgium,8136
2012,BG,Bulgaria,16029
2012,CZ,Czechia,10216
2012,DK,Denmark,1916
2012,DE,Germany,51701
2012,EE,Estonia,325
2012,IE,Ireland,638
2012,ES,Spain,20383
2012,FR,France,36658
2012,HR,Croatia,4254
2012,IT,Italy,60447
2012,CY,Cyprus,1069
2012,LV,Latvia,1525
2012,LT,Lithuania,2254
2012,LU,Luxembourg,208
2012,HU,Hungary,12503
2012,MT,Malta,181
2012,NL,Netherlands,8640
2012,AT,Austria,5386
2012,PL,Poland,47686
2012,PT,Portugal,3680
2012,RO,Romania,28343
2012,SI,Slovenia,1632
2012,SK,Slovakia,5580
2012,FI,Finland,773
2012,SE,Sweden,1593
2013,BE,Belgium,8691
2013,BG,Bulgaria,13610
2013,CZ,Czechia,10914
2013,DK,Denmark,1761
2013,DE,Germany,58365
2013,EE,Estonia,306
2013,IE,Ireland,879
2013,ES,Spain,15793
2013,FR,France,35660
2013,HR,Croatia,4114
2013,IT,Italy,55103
2013,CY,Cyprus,590
2013,LV,Latvia,1549
2013,LT,Lithuania,2474
2013,LU,Luxembourg,241
2013,HU,Hungary,11580
2013,MT,Malta,174
2013,NL,Netherlands,9189
2013,AT,Austria,5853
2013,PL,Poland,45876
2013,PT,Portugal,3649
2013,RO,Romania,23037
2013,SI,Slovenia,1603
2013,SK,Slovakia,5281
2013,FI,Finland,369
2013,SE,Sweden,783
2014,BE,Belgium,6250
2014,BG,Bulgaria,14203
2014,CZ,Czechia,9855
2014,DK,Denmark,2419
2014,DE,Germany,52049
2014,EE,Estonia,396
2014,IE,Ireland,817
2014,ES,Spain,15446
2014,FR,France,22689
2014,HR,Croatia,3771
2014,IT,Italy,45701
2014,CY,Cyprus,619
2014,LV,Latvia,1779
2014,LT,Lithuania,2819
2014,LU,Luxembourg,183
2014,HU,Hungary,10758
2014,MT,Malta,163
2014,NL,Netherlands,8598
2014,AT,Austria,4283
2014,PL,Poland,45114
2014,PT,Portugal,2622
2014,RO,Romania,22039
2014,SI,Slovenia,1306
2014,SK,Slovakia,4878
2014,FI,Finland,883
2014,SE,Sweden,1646
2015,BE,Belgium,6210
2015,BG,Bulgaria,14669
2015,CZ,Czechia,9245
2015,DK,Denmark,1843
2015,DE,Germany,49696
2015,EE,Estonia,213
2015,IE,Ireland,393
2015,ES,Spain,22200
2015,FR,France,28175
2015,HR,Croatia,4665
2015,IT,Italy,60986
2015,CY,Cyprus,711
2015,LV,Latvia,1245
2015,LT,Lithuania,2110
2015,LU,Luxembourg,200
2015,HU,Hungary,13030
2015,MT,Malta,200
2015,NL,Netherlands,7680
2015,AT,Austria,4895
2015,PL,Poland,44471
2015,PT,Portugal,3943
2015,RO,Romania,23999
2015,SI,Slovenia,1660
2015,SK,Slovakia,5130
2015,FI,Finland,225
2015,SE,Sweden,798
2016,BE,Belgium,5766
2016,BG,Bulgaria,13325
2016,CZ,Czechia,8634
2016,DK,Denmark,1650
2016,DE,Germany,44203
2016,EE,Estonia,132
2016,IE,Ireland,468
2016,ES,Spain,17510
2016,FR,France,24417
2016,HR,Croatia,5122
2016,IT,Italy,49618
2016,CY,Cyprus,541
2016,LV,Latvia,1238
2016,LT,Lithuania,2054
2016,LU,Luxembourg,175
2016,HU,Hungary,11290
2016,MT,Malta,151
2016,NL,Netherlands,6634
2016,AT,Austria,3966
2016,PL,Poland,41552
2016,PT,Portugal,2906
2016,RO,Romania,21587
2016,SI,Slovenia,1467
2016,SK,Slovakia,4470
2016,FI,Finland,225
2016,SE,Sweden,735
2017,BE,Belgium,5676
2017,BG,Bulgaria,13120
2017,CZ,Czechia,9335
2017,DK,Denmark,1366
2017,DE,Germany,45191
2017,EE,Estonia,70
2017,IE,Ireland,275
2017,ES,Spain,20142
2017,FR,France,22983
2017,HR,Croatia,4668
2017,IT,Italy,54674
2017,CY,Cyprus,621
2017,LV,Latvia,898
2017,LT,Lithuania,1490
2017,LU,Luxembourg,150
2017,HU,Hungary,12614
2017,MT,Malta,172
2017,NL,Netherlands,6695
2017,AT,Austria,4239
2017,PL,Poland,44821
2017,PT,Portugal,3041
2017,RO,Romania,23469
2017,SI,Slovenia,1554
2017,SK,Slovakia,5032
2017,FI,Finland,97
2017,SE,Sweden,412
2018,BE,Belgium,5914
2018,BG,Bulgaria,12027
2018,CZ,Czechia,10305
2018,DK,Denmark,2206
2018,DE,Germany,49262
2018,EE,Estonia,230
2018,IE,Ireland,624
2018,ES,Spain,15104
2018,FR,France,22888
2018,HR,Croatia,4696
2018,IT,Italy,46884
2018,CY,Cyprus,526
2018,LV,Latvia,1436
2018,LT,Lithuania,2110
2018,LU,Luxembourg,150
2018,HU,Hungary,12161
2018,MT,Malta,196
2018,NL,Netherlands,7554
2018,AT,Austria,5001
2018,PL,Poland,46792
2018,PT,Portugal,2640
2018,RO,Romania,23158
2018,SI,Slovenia,1495
2018,SK,Slovakia,4857
2018,FI,Finland,454
2018,SE,Sweden,902
2019,BE,Belgium,4533
2019,BG,Bulgaria,9906
2019,CZ,Czechia,6941
2019,DK,Denmark,1719
2019,DE,Germany,34359
2019,EE,Estonia,79
2019,IE,Ireland,598
2019,ES,Spain,14734
2019,FR,France,18709
2019,HR,Croatia,3472
2019,IT,Italy,42658
2019,CY,Cyprus,582
2019,LV,Latvia,1001
2019,LT,Lithuania,1880
2019,LU,Luxembourg,93
2019,HU,Hungary,8667
2019,MT,Malta,188
2019,NL,Netherlands,6064
2019,AT,Austria,3685
2019,PL,Poland,35647
2019,PT,Portugal,2517
2019,RO,Romania,18470
2019,SI,Slovenia,1147
2019,SK,Slovakia,3462
2019,FI,Finland,167
2019,SE,Sweden,528
2020,BE,Belgium,3927
2020,BG,Bulgaria,10623
2020,CZ,Czechia,6900
2020,DK,Denmark,1038
2020,DE,Germany,28886
2020,EE,Estonia,58
2020,IE,Ireland,488
2020,ES,Spain,16982
2020,FR,France,16507
2020,HR,Croatia,4128
2020,IT,Italy,52295
2020,CY,Cyprus,565
2020,LV,Latvia,836
2020,LT,Lithuania,1461
2020,LU,Luxembourg,76
2020,HU,Hungary,9502
2020,MT,Malta,151
2020,NL,Netherlands,4967
2020,AT,Austria,3167
2020,PL,Poland,36541
2020,PT,Portugal,2639
2020,RO,Romania,21590
2020,SI,Slovenia,1236
2020,SK,Slovakia,3916
2020,FI,Finland,61
2020,SE,Sweden,368
